PLAYER,GP,AVG,TTL
VELUS JONES,6,0.5,3.2
ALEX BACHMAN,12,0.3,3.2
SAL CANNELLA,1,3.1,3.1
MOLIKI MATAVAO,5,0.6,3.0
TEDDY BRIDGEWATER,4,0.7,2.9
ANDRE BACCELLIA,5,0.6,2.8
CAM GRANDY,5,0.5,2.7
ROSS DWELLEY,10,0.3,2.7
HARRISON BRYANT,11,0.2,2.7
DAVID MOORE,4,0.7,2.7
TYSON BAGENT,3,0.9,2.6
WILL MALLORY,2,1.3,2.6
ANTHONY GOULD,11,0.2,2.6
DAMEON PIERCE,4,0.7,2.6
TIM JONES,4,0.6,2.5
BLAKE WHITEHEART,15,0.2,2.4
TY CHANDLER,2,1.2,2.4
MITCHELL TRUBISKY,3,0.8,2.3
ANTHONY RICHARDSON,2,1.1,2.2
PHARAOH BROWN,6,0.4,2.1
PAYNE DURHAM,16,0.1,2.1
DEEJAY DALLAS,4,0.5,2.1
JACARDIA WRIGHT,1,2.0,2.0
TANNER MCKEE,3,0.6,1.8
BRYCE OLIVER,2,0.9,1.8
ROSCHON JOHNSON,6,0.3,1.7
CHRIS MANHERTZ,16,0.1,1.7
JOSIAH DEGUARA,11,0.1,1.6
BRITISH BROOKS,12,0.1,1.5
BENJAMIN YUROSEK,11,0.1,1.5
ZACH WILSON,3,0.5,1.4
JARED WILEY,3,0.5,1.4
KELEKI LATU,4,0.4,1.4
JELANI WOODS,5,0.3,1.4
CARTER RUNYON,10,0.1,1.3
REGGIE GILLIAM,16,0.1,1.2
DERNEST JOHNSON,5,0.2,1.2
JOSHUA DOBBS,3,0.4,1.2
ROBERT TONYAN,15,0.1,1.1
JACOB SAYLORS,11,0.1,1.1
JOSH WILLIAMS,2,0.6,1.1
KHALIL HERBERT,4,0.3,1.0
AMAR JOHNSON,1,0.8,0.8
KALEL MULLINGS,5,0.1,0.7
GARDNER MINSHEW,4,0.2,0.7
OWEN WRIGHT,3,0.2,0.6
MYLES GASKIN,1,0.6,0.6
CRAIG REYNOLDS,6,0.1,0.4
FELEIPE FRANKS,11,0.0,0.4
SIONE VAKI,7,0.1,0.4
PATRICK RICARD,11,0.0,0.3
